"","id","nm","lat","lon","countryCode","cityid","g","dt_txt","temp","pressure","humidity","temp_min","temp_max","weather_id","weather_main","weather_description","weather_icon","wind_speed","wind_deg","clouds_all","visibility","dt","name","coord_lon","coord_lat","sys_country","sys_timezone","sys_sunrise","sys_sunset","feels_like","sea_level","grnd_level"
"201",3682385,"Floridablanca",7.06222,-73.086441,"CO","COfloridablanca",19,"2020-04-30 12:14:58",300.15,1018,69,300.15,300.15,803,"Clouds","broken clouds","04d",3.1,320,75,10000,1588266898,"Floridablanca",-73.09,7.06,"CO",-18000,1588243101,1588287628,302.07,NA,NA
"202",3686422,"Choconta",5.14468,-73.685783,"CO","COchoconta",20,"2020-04-30 12:14:58",292.02,1014,30,292.02,292.02,500,"Rain","light rain","10d",2.97,118,82,NA,1588266898,"Choconta",-73.69,5.14,"CO",-18000,1588243370,1588287647,288.09,1014,748
"203",3689941,"Anapoima",4.52028,-74.539436,"CO","COanapoima",1,"2020-04-30 12:14:59",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266899,"Anapoima",-74.54,4.52,"CO",-18000,1588243615,1588287810,291.4,NA,NA
"204",3680539,"Ipiales",0.83018,-77.64959,"CO","COipiales",2,"2020-04-30 12:14:58",290.15,1033,63,290.15,290.15,803,"Clouds","broken clouds","04d",4.1,100,75,10000,1588266898,"Ipiales",-77.65,0.83,"CO",-18000,1588244599,1588288318,287.3,NA,NA
"205",3670730,"Rionegro",6.15515,-75.373711,"CO","COrionegro",3,"2020-04-30 12:14:53",292.43,1028,77,292.04,293.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266893,"Rionegro",-75.37,6.16,"CO",-18000,1588243707,1588288116,291.93,NA,NA
"206",3681429,"Guarne",6.28046,-75.443542,"CO","COguarne",4,"2020-04-30 12:14:58",293.77,1028,77,292.04,298.15,802,"Clouds","scattered clouds","03d",3.1,200,40,10000,1588266898,"Guarne",-75.44,6.28,"CO",-18000,1588243716,1588288141,293.76,NA,NA
"207",3689870,"Angostura",6.88508,-75.334671,"CO","COangostura",5,"2020-04-30 12:14:59",294.5,1012,51,294.5,294.5,500,"Rain","light rain","10d",0.58,57,94,NA,1588266899,"Angostura",-75.33,6.89,"CO",-18000,1588243649,1588288155,294.36,1012,839
"208",3681797,"Guacari",3.76383,-76.332916,"CO","COguacari",6,"2020-04-30 12:14:58",301.15,1018,65,301.15,301.15,802,"Clouds","scattered clouds","03d",1,NA,40,10000,1588266898,"Guacari",-76.33,3.76,"CO",-18000,1588244093,1588288191,304.53,NA,NA
"209",3682281,"Funza",4.71638,-74.211952,"CO","COfunza",7,"2020-04-30 12:14:58",294.15,1029,46,294.15,294.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266898,"Funza",-74.21,4.72,"CO",-18000,1588243522,1588287744,291.4,NA,NA
"210",3686441,"Choachi",4.52897,-73.922729,"CO","COchoachi",8,"2020-04-30 12:14:58",297.91,1029,46,294.15,302.15,803,"Clouds","broken clouds","04d",3.6,110,75,10000,1588266898,"Choachi",-73.92,4.53,"CO",-18000,1588243465,1588287662,296.12,NA,NA
"211",3671116,"Quibdo",5.69472,-76.66111,"CO","COquibdo",9,"2020-04-30 12:14:58",303.98,1012,68,303.98,303.98,501,"Rain","moderate rain","10d",1.41,214,87,NA,1588266898,"Quibdo",-76.66,5.69,"CO",-18000,1588244047,1588288395,308.94,1012,1007
